h_q1,h_dq1,h_q2,h_dq2,r_q1,r_dq1,r_q2,r_dq2,tau1,tau2,tau3,tau4
1.5707963267949,0,-0.392699081698724,0,1.5707963267949,0,-0.392699081698724,0,0,0,0,0
1.5707963267949,0,-0.392699081752471,-6.2069275055948e-05,1.5707963267949,0,-0.392699081767996,-7.99980593126181e-05,0,0,0,0
1.5707963267949,0,-0.392699083633647,-0.000372429568427245,1.5707963267949,0,-0.392699084192314,-0.00047993016594453,0,0,0,0
1.5707963267949,0,-0.392699133356832,-0.00192457802558524,1.5707963267949,0,-0.392699148236835,-0.00247813991018205,0,0,0,0
1.5707963267949,0,-0.392700390678331,-0.00969387554085068,1.5707963267949,0,-0.392700763300943,-0.0124334108168084,0,0,0,0
1.5707963267949,0,-0.392731988607856,-0.0487397449594721,1.5707963267949,0,-0.392740817743049,-0.0613749604474703,0,0,0,0
1.5707963267949,0,-0.392917465137615,-0.126128560244707,1.5707963267949,0,-0.392969950306082,-0.153960496087827,0,0,0,0
1.5707963267949,0,-0.39352754356442,-0.246921549089297,1.5707963267949,0,-0.393697844636661,-0.290259297091747,0,0,0,0
1.5707963267949,0,-0.395223178442876,-0.433090490214633,1.5707963267949,0,-0.395642391293808,-0.48899856793223,0,0,0,0
1.5707963267949,0,-0.400698369201206,-0.773918960382222,1.5707963267949,0,-0.401655880195553,-0.838078377704773,0,0,0,0
1.5707963267949,0,-0.412314058730678,-1.21357159300941,1.5707963267949,0,-0.414016546517108,-1.27750615247213,0,0,0,0
1.5707963267949,0,-0.444016125024739,-1.95875546233507,1.5707963267949,0,-0.446961309426445,-2.0185671334676,0,0,0,0
1.5707963267949,0,-0.498745456693415,-2.79820050414026,1.5707963267949,0,-0.503011093474063,-2.85545264905015,0,0,0,0
1.5707963267949,0,-0.572455279418609,-3.61013133417995,1.5707963267949,0,-0.577987972928167,-3.6551414026553,0,0,0,0
1.5707963267949,0,-0.628037177555724,-4.09612902332178,1.5707963267949,0,-0.634215108589167,-4.14590348550843,0,0,0,0
1.5707963267949,0,-0.690489470632471,-4.56412690303875,1.5707963267949,0,-0.697342692719731,-4.60507882969358,0,0,0,0
1.5707963267949,0,-0.805562647677196,-5.26518353644666,1.5707963267949,0,-0.813271757045731,-5.30682204323318,0,0,0,0
1.5707963267949,0,-0.89018475693061,-5.68625313077781,1.5707963267949,0,-0.898467962247334,-5.71071610610675,0,0,0,0
1.5707963267949,0,-0.980976336491204,-6.06019326673002,1.5707963267949,0,-0.989609342308292,-6.08731212021422,0,0,0,0
1.5707963267949,0,-1.1009686050414,-6.45896888125606,1.5707963267949,0,-1.11003876337857,-6.46717228146002,0,0,0,0
1.5707963267949,0,-1.20508405379474,-6.71905881803824,1.5707963267949,0,-1.21425167884851,-6.73255006803651,0,0,0,0
1.5707963267949,0,-1.31281544358396,-6.91962032173224,1.5707963267949,0,-1.32211454323486,-6.91502404130989,0,0,0,0
1.5707963267949,0,-1.45137395970624,-7.06890089677053,1.5707963267949,0,-1.46048486335713,-7.06923548680544,0,0,0,0
1.5707963267949,0,-1.58118412768348,-7.1145675891328,1.5707963267949,0,-1.59020175595885,-7.08127831574758,0,0,0,0
1.5707963267949,0,-1.6885580725205,-7.07008543917979,1.5707963267949,0,-1.69707827098787,-7.05493090086014,0,0,0,0
1.5707963267949,0,-1.7914404596489,-6.97230494056328,1.5707963267949,0,-1.79964763276775,-6.93415146542969,0,0,0,0
1.5707963267949,0,-1.90625925974278,-6.78236770865286,1.5707963267949,0,-1.91379263521928,-6.75003462971665,0,0,0,0
1.5707963267949,0,-2.03060776776053,-6.48865620013829,1.5707963267949,0,-2.03746375124583,-6.43229842537155,0,0,0,0
1.5707963267949,0,-2.13566683725309,-6.15093713831297,1.5707963267949,0,-2.141579948287,-6.11152391541632,0,0,0,0
1.5707963267949,0,-2.22611109354433,-5.79949695965398,1.5707963267949,0,-2.23135386124738,-5.73733841730013,0,0,0,0
1.5707963267949,0,-2.3105268150517,-5.40062980915887,1.5707963267949,0,-2.31484167381143,-5.34851217513034,0,0,0,0
1.5707963267949,0,-2.39996288162294,-4.90060727116341,1.5707963267949,0,-2.40333618681486,-4.83402735511999,0,0,0,0
1.5707963267949,0,-2.47853324620821,-4.36813248706433,1.5707963267949,0,-2.48078431243787,-4.31388935555313,0,0,0,0
1.5707963267949,0,-2.544790756216,-3.83626654302036,1.5707963267949,0,-2.54613248764475,-3.76693964105526,0,0,0,0
1.5707963267949,0,-2.59780825300343,-3.32368891678351,1.5707963267949,0,-2.59815005402342,-3.2652677536935,0,0,0,0
1.5707963267949,0,-2.64594648547033,-2.7628104828703,1.5707963267949,0,-2.64534980463786,-2.69664930344139,0,0,0,0
1.5707963267949,0,-2.68603754462348,-2.16962696499586,1.5707963267949,0,-2.68438386191705,-2.11125569771095,0,0,0,0
1.5707963267949,0,-2.71691141787484,-1.55673770597747,1.5707963267949,0,-2.71428770705069,-1.49240271786089,0,0,0,0
1.5707963267949,0,-2.73582748382199,-1.00147526269799,1.5707963267949,0,-2.73227642284085,-0.944175392554728,0,0,0,0
1.5707963267949,0,-2.74635319806508,-0.457808937661064,1.5707963267949,0,-2.74197594847504,-0.398428339759672,0,0,0,0
1.5707963267949,0,-2.7490503385637,0.0738922096176832,1.5707963267949,0,-2.74385521676004,0.129853397507255,0,0,0,0
1.5707963267949,0,-2.74427680656926,0.605103354566974,1.5707963267949,0,-2.73830462577218,0.660251774829186,0,0,0,0
